deviceId,temperature,readingTime
FREEZER-001,-22.5,2024-01-17 08:00:00
FREEZER-002,-18.3,2024-01-17 08:00:00
FREEZER-001,-23.0,2024-01-17 08:30:00
FREEZER-002,-19.1,2024-01-17 08:30:00
FREEZER-001,-8.5,2024-01-17 09:00:00
FREEZER-002,-30.2,2024-01-17 09:00:00
FREEZER-001,-10.2,2024-01-17 09:30:00
FREEZER-002,-28.8,2024-01-17 09:30:00
FREEZER-001,-7.8,2024-01-17 10:00:00
FREEZER-002,-32.1,2024-01-17 10:00:00
FREEZER-001,-20.5,2024-01-17 10:30:00
FREEZER-002,-22.0,2024-01-17 10:30:00
FREEZER-001,-21.8,2024-01-17 11:00:00
FREEZER-002,-20.5,2024-01-17 11:00:00
FREEZER-001,-22.5,2024-01-17 11:30:00
FREEZER-002,-19.8,2024-01-17 11:30:00
