deviceId,temperature,readingTime
FREEZER-001,-22.5,2024-01-16 08:00:00
FREEZER-001,-23.1,2024-01-16 08:30:00
UNKNOWN-999,-20.0,2024-01-16 09:00:00
FREEZER-001,abc,2024-01-16 09:30:00
FREEZER-001,-21.5,invalid-date
FREEZER-001,-22.0,2024-01-16 08:00:00
FREEZER-001,-25.0,2024-01-16 07:00:00
FREEZER-001,-21.8,2024-01-16 10:00:00
FREEZER-001,200.0,2024-01-16 10:30:00
FREEZER-002,-30.5,2024-01-16 11:00:00
, -18.0 ,2024-01-16 11:30:00
FREEZER-001,,2024-01-16 12:00:00
FREEZER-001,-19.5,
FREEZER-001,-20.2,2024-01-16 12:30:00
FREEZER-001,-21.0,2024-01-16 13:00:00
